user_id,total_watch_time_mins,avg_session_duration_mins,number_of_sessions,viewing_frequency_per_week,completion_rate,weekend_viewing_ratio,genre_action_ratio,genre_comedy_ratio,genre_drama_ratio,genre_thriller_ratio,genre_scifi_ratio,genre_romance_ratio,genre_horror_ratio,genre_animation_ratio,top_genre
USR-1017,3325.7,112.8,34,6.5,0.88,0.38,0.404,0.022,0.021,0.308,0.19,0.021,0.013,0.02,Action
USR-1018,2836.8,142.8,38,10.9,0.95,0.43,0.546,0.057,0.048,0.201,0.124,0.014,0.0,0.01,Action
USR-1019,2635.1,97.9,35,10.0,0.9,0.35,0.432,0.066,0.046,0.29,0.155,0.0,0.007,0.005,Action
USR-1020,3786.3,97.4,20,11.0,0.84,0.44,0.472,0.038,0.003,0.279,0.161,0.026,0.021,0.0,Action
USR-1021,3109.7,101.0,23,5.2,0.75,0.46,0.471,0.046,0.041,0.251,0.149,0.029,0.013,0.0,Action
USR-1022,3227.0,78.1,26,12.6,0.83,0.43,0.454,0.023,0.0,0.299,0.133,0.043,0.031,0.017,Action
USR-1023,2630.1,102.1,30,9.3,0.78,0.38,0.493,0.056,0.027,0.248,0.144,0.0,0.018,0.014,Action
USR-1024,2982.2,98.6,32,11.2,0.8,0.47,0.284,0.055,0.071,0.464,0.093,0.013,0.004,0.016,Thriller
USR-1025,3244.4,112.3,26,7.9,0.9,0.49,0.482,0.066,0.009,0.275,0.152,0.0,0.009,0.007,Action
USR-1026,2739.6,115.1,30,10.4,0.98,0.34,0.436,0.029,0.017,0.282,0.173,0.02,0.012,0.031,Action
USR-1027,3350.3,138.1,26,7.9,0.88,0.59,0.483,0.037,0.051,0.3,0.118,0.005,0.0,0.006,Action
USR-1028,2959.7,124.3,26,8.6,0.75,0.44,0.414,0.044,0.0,0.36,0.132,0.029,0.001,0.019,Action
USR-1029,3083.3,101.3,22,12.4,0.89,0.45,0.411,0.044,0.014,0.352,0.166,0.002,0.004,0.008,Action
USR-1030,2959.3,96.5,25,9.2,0.95,0.52,0.437,0.048,0.057,0.278,0.174,0.0,0.0,0.005,Action
USR-1031,3940.9,117.4,23,9.8,0.8,0.47,0.535,0.025,0.019,0.206,0.181,0.006,0.012,0.017,Action
USR-1032,3194.6,90.2,25,10.8,0.84,0.55,0.49,0.046,0.02,0.33,0.097,0.0,0.006,0.011,Action
USR-1033,2776.9,137.5,35,10.2,0.85,0.48,0.35,0.056,0.046,0.332,0.185,0.018,0.0,0.014,Action
USR-1034,3529.0,127.7,25,9.7,0.79,0.39,0.477,0.022,0.039,0.254,0.182,0.0,0.014,0.011,Action
USR-1035,2711.7,103.0,43,10.0,0.9,0.49,0.363,0.061,0.032,0.304,0.205,0.009,0.016,0.009,Action
USR-1036,3283.5,84.3,32,13.1,0.84,0.34,0.537,0.07,0.026,0.157,0.159,0.0,0.014,0.038,Action
USR-1037,2416.1,130.3,30,9.4,0.88,0.46,0.433,0.041,0.036,0.288,0.169,0.007,0.006,0.021,Action
USR-1038,2668.7,108.3,25,9.8,0.78,0.45,0.398,0.042,0.027,0.319,0.154,0.026,0.016,0.017,Action
USR-1039,3278.7,128.6,33,11.1,0.82,0.43,0.415,0.043,0.033,0.302,0.171,0.012,0.014,0.009,Action
USR-1040,3495.4,86.1,27,11.2,0.91,0.44,0.576,0.022,0.019,0.232,0.117,0.001,0.013,0.019,Action
USR-1041,3268.5,101.0,30,11.3,0.82,0.26,0.429,0.04,0.026,0.301,0.177,0.01,0.002,0.015,Action
USR-1042,3153.7,110.1,42,10.5,0.99,0.4,0.541,0.0,0.011,0.261,0.152,0.011,0.014,0.011,Action
USR-1043,3079.6,110.7,29,7.8,0.82,0.46,0.369,0.061,0.031,0.336,0.157,0.016,0.023,0.007,Action
USR-1044,2608.6,103.2,35,12.0,0.87,0.47,0.462,0.011,0.017,0.304,0.19,0.0,0.005,0.011,Action
USR-1045,2912.1,119.3,26,7.8,0.92,0.35,0.465,0.067,0.007,0.263,0.153,0.015,0.03,0.0,Action
USR-1046,3015.7,94.0,29,10.0,0.74,0.58,0.547,0.032,0.034,0.231,0.14,0.0,0.005,0.012,Action
USR-1047,3622.8,107.9,38,8.4,0.71,0.36,0.449,0.034,0.032,0.318,0.149,0.003,0.01,0.005,Action
USR-1048,3337.4,111.8,26,9.4,0.73,0.55,0.387,0.025,0.042,0.32,0.194,0.005,0.003,0.024,Action
USR-1049,2494.8,117.7,39,10.0,0.95,0.49,0.441,0.034,0.021,0.28,0.186,0.016,0.012,0.01,Action
USR-1050,3329.6,120.7,33,10.0,0.81,0.39,0.367,0.072,0.04,0.317,0.194,0.011,0.0,0.0,Action
USR-1051,3046.0,93.1,27,10.1,1.0,0.63,0.555,0.0,0.046,0.237,0.147,0.0,0.005,0.011,Action
USR-1052,2929.2,87.0,33,11.9,0.8,0.33,0.51,0.064,0.038,0.276,0.112,0.0,0.0,0.0,Action
USR-1053,3444.7,129.2,34,10.2,0.86,0.54,0.415,0.047,0.014,0.298,0.189,0.012,0.011,0.015,Action
USR-1054,3612.4,115.0,33,9.1,0.97,0.55,0.36,0.014,0.029,0.399,0.162,0.008,0.017,0.011,Thriller
USR-1055,3572.5,98.8,22,10.9,1.0,0.38,0.467,0.018,0.037,0.231,0.207,0.004,0.016,0.019,Action
USR-1056,2864.3,133.3,26,11.3,1.0,0.59,0.399,0.071,0.029,0.373,0.121,0.005,0.0,0.002,Action
USR-1057,3076.3,111.7,28,7.7,0.95,0.42,0.434,0.021,0.0,0.351,0.137,0.017,0.03,0.01,Action
USR-1058,3332.5,127.7,29,10.4,0.93,0.48,0.568,0.016,0.031,0.291,0.078,0.004,0.012,0.0,Action
USR-1059,3590.2,111.0,33,10.6,0.9,0.48,0.379,0.055,0.065,0.357,0.118,0.008,0.002,0.015,Action
USR-1060,3008.3,140.9,30,9.1,0.91,0.44,0.397,0.044,0.021,0.304,0.179,0.03,0.011,0.014,Action
USR-1061,3125.7,136.3,23,11.6,0.81,0.53,0.435,0.023,0.017,0.353,0.143,0.0,0.013,0.016,Action
USR-1062,2757.5,106.3,31,9.3,0.78,0.53,0.473,0.041,0.035,0.276,0.163,0.0,0.003,0.009,Action
USR-1063,2721.5,124.6,33,9.7,0.85,0.28,0.414,0.019,0.034,0.355,0.135,0.017,0.011,0.013,Action
USR-1064,3525.0,119.7,32,9.2,0.84,0.58,0.37,0.058,0.05,0.34,0.151,0.003,0.004,0.024,Action
USR-1065,3742.5,130.5,35,9.5,0.81,0.28,0.551,0.061,0.005,0.26,0.103,0.007,0.006,0.007,Action
USR-1066,3171.2,95.5,34,7.9,0.91,0.55,0.537,0.048,0.043,0.21,0.146,0.002,0.003,0.011,Action
USR-1067,3601.4,120.3,32,7.3,0.93,0.56,0.492,0.058,0.051,0.352,0.037,0.009,0.0,0.0,Action
USR-1068,3344.7,125.9,29,11.9,0.86,0.34,0.36,0.09,0.032,0.301,0.17,0.031,0.014,0.002,Action
USR-1069,2942.0,83.6,21,8.2,0.97,0.41,0.514,0.039,0.036,0.287,0.082,0.017,0.015,0.011,Action
USR-1070,3344.6,92.3,32,8.0,0.76,0.34,0.363,0.015,0.046,0.344,0.182,0.017,0.014,0.019,Action
USR-1071,3815.2,79.4,31,6.3,0.83,0.43,0.471,0.045,0.044,0.25,0.166,0.0,0.017,0.007,Action
USR-1072,3185.7,106.0,31,8.5,0.79,0.42,0.337,0.094,0.008,0.343,0.194,0.0,0.015,0.009,Thriller
USR-1073,3825.9,120.8,23,7.5,0.7,0.53,0.469,0.018,0.042,0.273,0.19,0.0,0.004,0.005,Action
USR-1074,2152.1,132.5,24,12.0,0.84,0.58,0.391,0.036,0.032,0.389,0.124,0.002,0.02,0.005,Action
USR-1075,3528.8,111.1,35,11.0,0.84,0.59,0.506,0.048,0.031,0.164,0.219,0.019,0.0,0.013,Action
USR-1076,3234.8,134.4,29,8.5,0.97,0.39,0.456,0.039,0.032,0.267,0.189,0.015,0.001,0.0,Action
USR-1077,3080.4,89.3,33,12.9,0.9,0.43,0.413,0.022,0.03,0.345,0.155,0.009,0.0,0.025,Action
USR-1078,3236.7,84.4,30,11.0,0.77,0.28,0.368,0.055,0.047,0.328,0.172,0.009,0.018,0.003,Action
USR-1079,2405.0,109.2,30,9.0,1.0,0.37,0.488,0.083,0.027,0.261,0.102,0.003,0.019,0.017,Action
USR-1080,3112.1,115.8,34,5.8,0.95,0.55,0.545,0.052,0.009,0.223,0.139,0.014,0.018,0.0,Action
USR-1081,3342.8,109.5,27,12.9,0.9,0.61,0.469,0.021,0.021,0.318,0.119,0.017,0.02,0.016,Action
USR-1082,3791.2,79.0,30,7.4,0.83,0.33,0.574,0.009,0.032,0.247,0.122,0.0,0.001,0.016,Action
USR-1083,2992.7,108.7,27,7.0,0.77,0.39,0.405,0.056,0.068,0.285,0.134,0.016,0.017,0.017,Action
USR-1084,2876.6,90.4,27,11.0,0.82,0.45,0.494,0.053,0.036,0.224,0.17,0.016,0.007,0.0,Action
USR-1085,2999.3,120.0,28,13.2,0.94,0.48,0.465,0.05,0.013,0.293,0.142,0.006,0.019,0.013,Action
USR-1086,3566.2,115.5,31,11.6,1.0,0.37,0.397,0.042,0.084,0.277,0.172,0.018,0.009,0.0,Action
USR-1087,3331.5,95.9,27,10.3,0.97,0.49,0.456,0.037,0.047,0.222,0.169,0.051,0.008,0.01,Action
USR-1088,2988.1,102.3,36,10.4,0.81,0.4,0.442,0.018,0.056,0.36,0.078,0.009,0.016,0.021,Action
USR-1089,3405.3,94.1,25,10.8,0.76,0.45,0.438,0.047,0.023,0.315,0.135,0.012,0.016,0.015,Action
USR-1090,3238.8,109.1,29,10.6,0.86,0.5,0.455,0.06,0.042,0.351,0.076,0.003,0.003,0.01,Action
USR-1091,3587.5,124.3,27,9.9,0.71,0.45,0.556,0.009,0.046,0.226,0.143,0.011,0.009,0.0,Action
USR-1092,2919.2,95.2,37,9.7,0.88,0.41,0.382,0.082,0.062,0.329,0.109,0.017,0.0,0.019,Action
USR-1093,3068.9,117.6,30,9.4,0.84,0.44,0.407,0.047,0.046,0.272,0.208,0.011,0.0,0.009,Action
USR-1094,3043.2,102.0,35,8.4,0.81,0.44,0.35,0.068,0.047,0.336,0.187,0.0,0.012,0.0,Action
USR-1095,2614.6,98.1,22,9.1,0.72,0.41,0.454,0.012,0.022,0.322,0.146,0.011,0.015,0.017,Action
USR-1096,3318.4,108.4,31,7.0,0.89,0.42,0.493,0.012,0.018,0.242,0.19,0.023,0.012,0.009,Action
USR-1097,3304.4,94.5,34,9.4,0.81,0.61,0.439,0.039,0.039,0.322,0.123,0.015,0.0,0.023,Action
USR-1098,3202.0,101.7,30,8.0,0.76,0.51,0.279,0.058,0.056,0.378,0.198,0.023,0.007,0.0,Thriller
USR-1099,3106.2,92.0,35,7.8,0.62,0.42,0.416,0.068,0.023,0.346,0.141,0.007,0.0,0.0,Action
USR-1100,2633.9,139.5,27,9.8,0.85,0.52,0.423,0.047,0.045,0.298,0.14,0.015,0.021,0.011,Action
USR-1101,3031.7,110.5,37,11.6,0.99,0.42,0.419,0.031,0.051,0.302,0.175,0.011,0.0,0.011,Action
USR-1102,3062.9,99.5,41,10.9,0.98,0.57,0.505,0.018,0.011,0.281,0.165,0.0,0.021,0.0,Action
USR-1103,2879.1,113.2,28,7.1,0.81,0.49,0.357,0.063,0.013,0.377,0.158,0.013,0.019,0.0,Thriller
USR-1104,3135.5,108.3,27,8.0,0.8,0.44,0.505,0.021,0.027,0.325,0.084,0.0,0.001,0.038,Action
USR-1105,3361.6,106.7,37,10.9,0.89,0.49,0.532,0.071,0.035,0.242,0.109,0.004,0.0,0.007,Action
USR-1106,3954.5,119.2,37,8.0,0.77,0.29,0.33,0.037,0.021,0.412,0.155,0.013,0.014,0.019,Thriller
USR-1107,3269.8,121.4,27,9.2,0.87,0.34,0.425,0.064,0.051,0.306,0.138,0.012,0.001,0.003,Action
USR-1108,3303.0,102.0,27,10.3,0.91,0.33,0.46,0.06,0.043,0.307,0.118,0.0,0.012,0.0,Action
USR-1109,3170.2,101.4,28,8.0,0.95,0.46,0.417,0.035,0.029,0.255,0.232,0.019,0.005,0.008,Action
USR-1110,2432.5,105.9,23,9.7,0.84,0.62,0.451,0.028,0.001,0.3,0.199,0.015,0.0,0.007,Action
USR-1111,3189.4,75.5,25,7.5,0.83,0.67,0.429,0.035,0.004,0.342,0.182,0.003,0.0,0.006,Action
USR-1112,3224.1,87.3,24,8.6,0.78,0.51,0.41,0.05,0.037,0.323,0.158,0.0,0.013,0.009,Action
USR-1113,4185.3,130.5,26,10.0,0.78,0.5,0.462,0.042,0.0,0.325,0.144,0.009,0.004,0.013,Action
USR-1114,3123.1,134.7,29,7.1,0.83,0.27,0.373,0.029,0.052,0.413,0.115,0.006,0.005,0.009,Thriller
USR-1115,3320.6,106.3,31,10.2,0.88,0.4,0.374,0.038,0.028,0.375,0.157,0.011,0.017,0.0,Thriller
USR-1116,3186.1,118.6,37,9.5,0.92,0.37,0.436,0.036,0.082,0.27,0.139,0.006,0.019,0.013,Action
USR-1117,2732.5,114.7,25,10.3,0.79,0.39,0.399,0.0,0.085,0.397,0.112,0.0,0.008,0.0,Action
USR-1118,3657.1,156.2,34,9.8,0.97,0.43,0.507,0.05,0.027,0.24,0.165,0.006,0.007,0.0,Action
USR-1119,3500.8,126.8,28,11.5,0.83,0.4,0.467,0.02,0.027,0.311,0.138,0.007,0.014,0.017,Action
USR-1120,3516.4,108.1,29,9.7,0.85,0.25,0.35,0.019,0.056,0.458,0.083,0.018,0.0,0.017,Thriller
USR-1121,2836.2,95.7,33,8.9,0.79,0.52,0.443,0.007,0.072,0.321,0.129,0.003,0.014,0.011,Action
USR-1122,3761.1,85.9,24,9.7,0.66,0.34,0.56,0.004,0.0,0.256,0.137,0.027,0.016,0.0,Action
USR-1123,2639.3,113.1,31,10.3,0.92,0.47,0.417,0.014,0.0,0.293,0.253,0.0,0.019,0.003,Action
USR-1124,3434.7,98.7,30,9.6,0.91,0.66,0.462,0.029,0.02,0.263,0.193,0.026,0.0,0.008,Action
USR-1125,4076.2,88.7,32,9.6,0.83,0.36,0.503,0.082,0.043,0.261,0.1,0.008,0.002,0.0,Action
USR-1126,2803.8,100.3,31,8.4,0.86,0.2,0.487,0.028,0.038,0.264,0.161,0.018,0.001,0.002,Action
USR-1127,2973.5,93.8,42,8.5,0.89,0.42,0.496,0.05,0.059,0.249,0.102,0.012,0.013,0.019,Action
USR-1128,3239.9,135.3,26,7.4,0.72,0.56,0.398,0.047,0.006,0.298,0.191,0.021,0.015,0.024,Action
USR-1129,2998.6,123.2,27,12.1,0.81,0.65,0.5,0.038,0.0,0.314,0.116,0.005,0.022,0.005,Action
USR-1130,2579.7,109.9,26,7.6,0.91,0.33,0.541,0.035,0.043,0.225,0.134,0.0,0.005,0.016,Action
USR-1131,3227.4,132.2,27,8.5,0.75,0.5,0.447,0.014,0.011,0.331,0.172,0.02,0.004,0.0,Action
USR-1132,2775.1,111.2,26,8.4,0.87,0.4,0.456,0.069,0.0,0.33,0.098,0.009,0.021,0.017,Action
USR-1133,3389.4,97.1,35,10.8,0.74,0.44,0.394,0.078,0.034,0.37,0.096,0.012,0.013,0.002,Action
USR-1134,2832.2,132.8,37,9.1,0.89,0.71,0.435,0.007,0.052,0.296,0.144,0.025,0.026,0.015,Action
USR-1135,3820.0,118.1,27,11.4,0.85,0.3,0.446,0.018,0.025,0.319,0.174,0.0,0.012,0.007,Action
USR-1136,2886.7,94.4,25,8.5,0.72,0.48,0.536,0.038,0.023,0.26,0.099,0.018,0.0,0.026,Action
USR-1137,3071.2,107.1,32,9.9,0.94,0.5,0.559,0.021,0.027,0.352,0.037,0.004,0.0,0.001,Action
USR-1138,3525.4,96.9,27,8.2,0.79,0.56,0.482,0.048,0.022,0.298,0.127,0.008,0.0,0.016,Action
USR-1139,2707.7,89.3,33,12.7,0.79,0.46,0.367,0.028,0.003,0.371,0.192,0.012,0.019,0.008,Thriller
USR-1140,3291.0,123.9,31,7.7,0.87,0.48,0.49,0.076,0.014,0.21,0.182,0.0,0.02,0.008,Action
USR-1141,3722.9,138.6,22,10.0,0.94,0.41,0.415,0.072,0.045,0.276,0.148,0.002,0.032,0.009,Action
USR-1142,2557.0,89.0,37,10.5,0.77,0.48,0.414,0.044,0.036,0.332,0.132,0.023,0.018,0.002,Action
USR-1143,3273.9,118.4,38,10.1,0.85,0.42,0.446,0.057,0.032,0.231,0.186,0.018,0.021,0.009,Action
USR-1144,3304.0,100.2,26,9.2,0.88,0.51,0.55,0.056,0.009,0.296,0.068,0.008,0.004,0.008,Action
USR-1145,3512.7,102.7,28,9.3,0.91,0.41,0.618,0.025,0.023,0.193,0.119,0.011,0.0,0.011,Action
USR-1146,2705.2,101.1,31,9.6,0.86,0.49,0.467,0.022,0.0,0.329,0.148,0.007,0.017,0.01,Action
USR-1147,2671.8,97.0,31,9.3,0.82,0.45,0.453,0.043,0.035,0.235,0.175,0.025,0.015,0.019,Action
USR-1148,3408.8,110.7,33,10.9,0.78,0.56,0.444,0.052,0.053,0.3,0.117,0.007,0.01,0.017,Action
USR-1149,3318.8,97.5,40,12.8,0.86,0.44,0.483,0.04,0.0,0.313,0.14,0.011,0.013,0.0,Action
USR-1150,3300.2,114.1,29,8.7,0.76,0.27,0.522,0.01,0.022,0.318,0.062,0.026,0.016,0.023,Action
USR-1151,3338.6,109.2,26,7.4,0.62,0.58,0.522,0.021,0.032,0.294,0.109,0.002,0.02,0.0,Action
USR-1152,2928.0,106.4,23,9.4,0.88,0.36,0.422,0.035,0.05,0.284,0.151,0.023,0.021,0.014,Action
USR-1153,3292.9,96.4,26,13.4,0.92,0.38,0.511,0.04,0.022,0.279,0.115,0.0,0.016,0.017,Action
USR-1154,3317.2,101.3,29,8.3,0.66,0.39,0.486,0.077,0.016,0.231,0.147,0.025,0.018,0.0,Action
USR-1155,2914.3,121.3,38,12.0,0.77,0.59,0.551,0.014,0.0,0.207,0.191,0.007,0.017,0.012,Action
USR-1156,3946.3,117.5,27,12.0,0.9,0.24,0.481,0.047,0.03,0.299,0.127,0.007,0.005,0.005,Action
USR-1157,3389.5,95.3,31,8.7,1.0,0.76,0.433,0.076,0.077,0.223,0.17,0.0,0.019,0.003,Action
USR-1158,2723.5,111.5,29,10.4,0.85,0.56,0.417,0.088,0.037,0.314,0.115,0.006,0.0,0.024,Action
USR-1159,3462.6,121.3,35,11.9,0.79,0.47,0.414,0.037,0.034,0.325,0.162,0.0,0.024,0.004,Action
USR-1160,2810.1,85.0,42,8.9,0.84,0.44,0.444,0.046,0.033,0.312,0.16,0.004,0.0,0.002,Action
USR-1161,3514.8,118.2,27,9.2,0.96,0.48,0.482,0.048,0.028,0.265,0.147,0.008,0.012,0.01,Action
USR-1162,3663.4,100.1,27,8.6,0.8,0.5,0.492,0.044,0.014,0.283,0.128,0.02,0.002,0.017,Action
USR-1163,2871.7,118.6,35,8.0,0.79,0.51,0.484,0.031,0.038,0.285,0.132,0.01,0.013,0.007,Action
USR-1164,3585.4,98.6,33,8.5,0.81,0.51,0.418,0.045,0.032,0.298,0.166,0.012,0.009,0.02,Action
USR-1165,3365.1,82.9,39,7.7,0.77,0.46,0.538,0.0,0.032,0.341,0.073,0.0,0.0,0.016,Action
USR-1166,3528.8,85.6,32,9.6,0.86,0.43,0.375,0.055,0.011,0.339,0.203,0.001,0.015,0.0,Action
USR-1167,3958.7,110.7,28,8.3,0.98,0.43,0.466,0.047,0.062,0.231,0.152,0.031,0.005,0.005,Action
USR-1168,3101.8,113.9,32,9.9,0.88,0.43,0.45,0.032,0.039,0.308,0.149,0.002,0.017,0.004,Action
USR-1169,2898.5,96.4,35,7.2,0.83,0.56,0.43,0.067,0.016,0.28,0.164,0.022,0.008,0.012,Action
USR-1170,2844.2,119.6,34,10.0,0.83,0.51,0.497,0.031,0.058,0.278,0.111,0.009,0.016,0.0,Action
USR-1171,2873.7,85.1,32,10.8,0.72,0.16,0.468,0.034,0.021,0.301,0.128,0.011,0.0,0.037,Action
USR-1172,3169.2,109.0,35,6.5,0.92,0.52,0.365,0.089,0.016,0.331,0.154,0.023,0.005,0.017,Action
USR-1173,3336.5,91.8,35,10.1,0.84,0.47,0.463,0.026,0.016,0.321,0.13,0.025,0.006,0.013,Action
USR-1174,3310.7,100.2,36,11.3,0.84,0.45,0.458,0.025,0.0,0.281,0.193,0.008,0.016,0.019,Action
USR-1175,3530.9,110.7,33,7.7,1.0,0.41,0.435,0.032,0.035,0.338,0.101,0.005,0.023,0.029,Action
USR-1176,3205.2,97.1,29,12.0,0.87,0.56,0.458,0.053,0.0,0.341,0.119,0.009,0.002,0.017,Action
USR-1177,3781.4,104.2,30,10.1,0.79,0.54,0.485,0.047,0.006,0.236,0.169,0.014,0.022,0.021,Action
USR-1178,3094.1,125.1,36,8.4,0.82,0.37,0.482,0.015,0.0,0.361,0.109,0.02,0.0,0.012,Action
USR-1179,4288.1,101.3,25,9.4,0.94,0.49,0.402,0.03,0.029,0.385,0.136,0.01,0.0,0.009,Action
USR-1180,3450.3,122.5,31,10.3,0.86,0.35,0.473,0.026,0.025,0.302,0.152,0.015,0.0,0.005,Action
USR-1181,2857.1,93.1,28,9.6,0.73,0.31,0.45,0.036,0.022,0.34,0.127,0.025,0.0,0.002,Action
USR-1182,2771.6,117.9,30,10.3,0.92,0.39,0.433,0.043,0.008,0.372,0.129,0.012,0.0,0.003,Action
USR-1183,3393.0,131.6,36,8.1,0.8,0.54,0.416,0.049,0.007,0.369,0.131,0.013,0.014,0.0,Action
USR-1184,3110.6,72.9,30,9.8,1.0,0.55,0.374,0.006,0.053,0.424,0.12,0.0,0.011,0.012,Thriller
USR-1185,3485.6,98.0,30,7.4,0.94,0.5,0.465,0.053,0.016,0.313,0.141,0.0,0.012,0.0,Action
USR-1186,3389.3,118.7,23,9.3,0.81,0.52,0.387,0.042,0.034,0.29,0.207,0.013,0.016,0.011,Action
USR-1187,3170.9,107.0,33,8.1,0.95,0.5,0.403,0.072,0.013,0.319,0.16,0.01,0.013,0.01,Action
USR-1188,2861.3,115.6,33,8.4,0.86,0.39,0.477,0.046,0.032,0.263,0.15,0.005,0.016,0.011,Action
USR-1189,2594.1,100.9,40,11.4,0.92,0.49,0.369,0.055,0.049,0.347,0.157,0.011,0.008,0.004,Action
USR-1190,3021.4,111.3,28,11.1,0.89,0.53,0.521,0.048,0.041,0.245,0.097,0.009,0.0,0.04,Action
USR-1191,3542.6,107.7,31,10.4,0.78,0.53,0.395,0.053,0.017,0.31,0.173,0.017,0.016,0.019,Action
USR-1192,3285.6,127.5,31,7.9,0.8,0.57,0.462,0.046,0.032,0.302,0.145,0.01,0.004,0.0,Action
USR-1193,2701.7,113.8,37,9.0,0.93,0.52,0.4,0.045,0.03,0.254,0.253,0.003,0.001,0.014,Action
USR-1194,3269.3,115.1,29,11.3,0.82,0.49,0.481,0.075,0.027,0.283,0.106,0.017,0.007,0.003,Action
USR-1195,3354.1,103.8,31,9.7,0.82,0.56,0.492,0.06,0.025,0.182,0.233,0.008,0.001,0.0,Action
USR-1196,2846.5,102.7,33,13.0,0.77,0.45,0.405,0.05,0.026,0.325,0.174,0.015,0.006,0.0,Action
USR-1197,3261.5,103.5,30,10.1,0.88,0.36,0.432,0.014,0.032,0.331,0.161,0.005,0.013,0.013,Action
USR-1198,3223.3,115.9,27,9.8,1.0,0.43,0.397,0.018,0.013,0.341,0.205,0.005,0.017,0.004,Action
USR-1199,2742.8,103.7,30,9.0,0.76,0.38,0.475,0.045,0.01,0.302,0.138,0.011,0.001,0.019,Action
USR-1200,3343.1,114.3,35,9.7,0.85,0.38,0.346,0.04,0.002,0.392,0.186,0.01,0.005,0.019,Thriller
USR-1201,3424.3,141.1,24,9.3,0.96,0.44,0.4,0.032,0.0,0.316,0.182,0.017,0.024,0.028,Action
USR-1202,3633.2,123.1,30,10.6,0.84,0.37,0.463,0.06,0.008,0.334,0.101,0.01,0.021,0.002,Action
USR-1203,3621.5,105.1,26,10.9,0.89,0.42,0.455,0.061,0.028,0.329,0.089,0.0,0.026,0.012,Action
USR-1204,2648.9,128.0,35,8.3,0.77,0.26,0.374,0.05,0.011,0.39,0.133,0.005,0.02,0.015,Thriller
USR-1205,2824.9,103.9,22,7.5,0.88,0.47,0.504,0.015,0.035,0.264,0.143,0.016,0.019,0.005,Action
USR-1206,3406.0,79.4,27,6.7,0.84,0.45,0.41,0.038,0.031,0.363,0.149,0.007,0.0,0.002,Action
USR-1207,3405.5,94.9,31,10.3,0.93,0.37,0.324,0.025,0.0,0.393,0.205,0.008,0.018,0.027,Thriller
USR-1208,3406.0,81.9,37,7.8,0.94,0.52,0.448,0.04,0.054,0.317,0.089,0.025,0.012,0.015,Action
USR-1209,4741.1,104.7,29,6.3,1.0,0.54,0.51,0.029,0.043,0.251,0.145,0.003,0.004,0.015,Action
USR-1210,3428.4,110.3,27,10.1,0.9,0.29,0.464,0.032,0.011,0.397,0.082,0.0,0.012,0.002,Action
USR-1211,3654.2,135.1,39,13.2,0.88,0.37,0.38,0.014,0.036,0.375,0.169,0.008,0.018,0.0,Action
USR-1212,3581.6,114.9,22,9.5,0.87,0.37,0.455,0.037,0.013,0.328,0.144,0.005,0.015,0.004,Action
